SubjectId	OriginGMT	DestinationGMT	Direction	q02_TripPurpose	q03_WhoPays	q11_DepartureOrArrivalIsImportant	q12_IdealDepTime	q13_IdealArrTime	q14_PartySize	q15_Age	q16_Income	Cont_Income	q17_Gender	q19_Occupation	q20_Education	AirlineFirstFlight_1	AirlineFirstFlight_2	AirlineFirstFlight_3	AirlineSecondFlight_1	AirlineSecondFlight_2	AirlineSecondFlight_3	AirplaneFirstFlight_1	AirplaneFirstFlight_2	AirplaneFirstFlight_3	AirplaneSecondFlight_1	AirplaneSecondFlight_2	AirplaneSecondFlight_3	DepartureTimeHours_1	DepartureTimeHours_2	DepartureTimeHours_3	DepartureTimeMins_1	DepartureTimeMins_2	DepartureTimeMins_3	ArrivalTimeHours_1	ArrivalTimeHours_2	ArrivalTimeHours_3	ArrivalTimeMins_1	ArrivalTimeMins_2	ArrivalTimeMins_3	FlyingTimeHours_1	FlyingTimeHours_2	FlyingTimeHours_3	TripTimeHours_1	TripTimeHours_2	TripTimeHours_3	Legroom_1	Legroom_2	Legroom_3	Fare_1	Fare_2	Fare_3	BestAlternative_1	BestAlternative_2	BestAlternative_3	TripPurpose
232	480	300	2	2	1	2	480	900	1	3.5	12	162.5	1	1	6	5	2	4	-1	-1	5	1	4	1	-1	5	2	12	11	9	720	660	540	20.5333	21.0333	18.5333	1232	1262	1112	5.53333	6.03333	6.03333	5.53333	7.03333	6.53333	1	1	2	460	480	415	0	0	1	2
233	360	300	2	2	1	2	-1	840	4	3.5	9	92.5	1	2	6	2	6	5	-1	-1	7	2	3	4	-1	7	3	14	9	10	840	540	600	18.1333	14.1333	16.6333	1088	848	998	3.13333	3.63333	3.63333	3.13333	4.13333	5.63333	4	2	4	200	220	220	1	0	0	2
234	480	300	2	2	1	2	-1	600	1	3.5	8	80	1	2	7	2	5	3	-1	-1	7	8	4	4	-1	7	7	12	12	11	720	720	660	20.3	22.8	20.8	1218	1368	1248	5.3	5.8	5.8	5.3	7.8	6.8	1	3	2	810	665	700	0	0	1	2
235	420	360	2	2	1	1	690	-1	1	2	99	-1	2	99	6	2	1	7	-1	-1	2	1	5	3	-1	4	5	7.5	12	15	450	720	900	10.35	15.85	19.85	621	951	1191	1.85	2.35	2.35	1.85	2.85	3.85	3	3	4	400	420	360	1	0	0	2
236	300	480	0	2	1	1	1200	-1	2	3.5	10	112.5	1	1	7	7	2	5	-1	-1	7	1	2	3	-1	6	2	16.5	9	13.5	990	540	810	19.1167	13.6167	17.1167	1147	817	1027	5.61667	6.11667	6.11667	5.61667	7.61667	6.61667	2	4	2	415	490	490	1	0	0	2
237	360	300	2	2	1	2	-1	840	2	3.5	7	70	2	3	3	4	6	1	-1	-1	2	3	7	4	-1	6	4	8	13	10	480	780	600	12.1333	18.6333	16.1333	728	1118	968	3.13333	3.63333	3.63333	3.13333	4.63333	5.13333	4	3	2	395	375	395	1	0	0	2
238	480	360	2	2	1	1	420	-1	2	2	5	50	2	2	6	7	1	4	-1	-1	3	3	2	2	-1	3	6	9	12	12	540	720	720	14.5	19.5	19	870	1170	1140	3.5	4	4	3.5	5.5	5	3	2	3	275	310	310	1	0	0	2
239	480	300	2	1	2	1	1020	-1	1	6	99	-1	2	2	6	3	3	4	-1	-1	5	1	8	3	-1	5	7	13	12	7	780	720	420	21.3	22.8	16.3	1278	1368	978	5.3	5.8	5.8	5.3	7.8	6.3	4	1	3	775	700	810	1	0	0	1
240	480	300	2	1	2	2	-1	1080	1	3.5	7	70	1	2	7	5	5	5	-1	-1	2	5	6	8	-1	6	5	9	6	9	540	360	540	17.5333	15.5333	19.0333	1052	932	1142	5.53333	6.03333	6.03333	5.53333	6.53333	7.03333	4	1	3	800	725	725	1	0	0	1
241	480	300	2	2	1	2	-1	780	1	3.5	6	60	1	2	7	7	7	7	-1	-1	4	6	6	1	-1	3	4	6	7	9	360	420	540	14.5333	18.0333	19.0333	872	1082	1142	5.53333	6.03333	6.03333	5.53333	8.03333	7.03333	1	3	2	915	840	840	0	0	1	2
242	360	300	2	2	1	1	420	-1	4	4	9	92.5	1	2	6	4	4	1	-1	-1	4	8	7	4	-1	4	2	18	9	7.5	1080	540	450	20.95	13.95	11.95	1257	837	717	1.95	2.45	2.45	1.95	3.95	3.45	3	2	3	320	295	335	1	0	0	2
243	300	300	1	2	1	1	390	-1	2	3.5	9	92.5	2	6	3	1	5	10	-1	-1	3	2	3	1	-1	5	1	12	9	9	720	540	540	14.5167	12.5167	13.0167	871	751	781	2.51667	3.01667	3.01667	2.51667	3.51667	4.01667	3	3	1	215	200	270	0	1	0	2
244	480	300	2	2	1	1	1380	-1	1	3.5	9	92.5	1	2	7	3	2	11	-1	-1	9	4	5	1	-1	8	7	8	7	11	480	420	660	16.3333	16.8333	21.3333	980	1010	1280	5.33333	5.83333	5.83333	5.33333	6.83333	7.33333	4	3	2	1170	1170	1220	1	0	0	2
245	480	300	2	1	1	2	-1	540	1	3.5	3	30	1	2	9	5	6	3	-1	-1	2	2	3	7	-1	8	7	6	8	8	360	480	480	14.3	17.8	17.3	858	1068	1038	5.3	5.8	5.8	5.3	6.8	6.3	2	3	4	1060	1060	930	0	0	1	1
246	360	300	2	1	2	2	-1	600	1	5	12	162.5	1	1	3	2	3	2	-1	-1	5	4	1	6	-1	7	1	8	10	10	480	600	600	12.5667	16.5667	16.0667	754	994	964	3.56667	4.06667	4.06667	3.56667	5.56667	5.06667	3	2	3	430	515	495	1	0	0	1
247	360	360	1	1	1	1	1080	-1	1	5	11	137.5	2	2	4	2	3	2	-1	-1	5	2	2	2	-1	3	6	16.5	13.5	9	990	810	540	18.5833	16.5833	13.0833	1115	995	785	2.08333	2.58333	2.58333	2.08333	3.08333	4.08333	4	1	2	265	265	235	1	0	0	1
248	360	300	2	2	1	2	-1	720	4	3.5	13	187.5	1	1	6	2	6	5	-1	-1	7	4	8	1	-1	3	5	11	12	8	660	720	480	15.1333	18.1333	13.1333	908	1088	788	3.13333	3.63333	3.63333	3.13333	5.13333	4.13333	3	1	1	355	335	415	1	0	0	2
249	360	300	2	2	1	2	-1	600	2	6	99	-1	2	4	7	3	2	1	-1	-1	2	8	6	3	-1	7	6	11	11	11	660	660	660	14.0167	16.5167	15.5167	841	991	931	2.01667	2.51667	2.51667	2.01667	4.51667	3.51667	2	1	4	295	295	385	1	0	0	2
250	300	300	1	2	1	0	-1	-1	5	7	99	-1	1	99	3	4	7	7	-1	-1	3	5	4	6	-1	4	7	9	7.5	7.5	540	450	450	11.5167	11.0167	12.5167	691	661	751	2.51667	3.01667	3.01667	2.51667	3.51667	5.01667	4	2	4	145	170	200	1	0	0	2
251	480	480	1	1	2	1	540	-1	1	5	99	-1	1	1	7	2	3	4	-1	-1	3	8	3	8	-1	8	4	12	18	16.5	720	1080	990	13.9667	20.9667	20.4667	838	1258	1228	1.96667	2.46667	2.46667	1.96667	2.96667	3.96667	1	4	1	150	130	180	1	0	0	1
252	360	480	0	2	1	1	1230	-1	1	3.5	8	80	2	4	5	3	3	2	-1	-1	7	3	1	4	-1	4	1	10.5	15	16.5	630	900	990	12.7333	19.7333	19.7333	764	1184	1184	4.23333	4.73333	4.73333	4.23333	6.73333	5.23333	1	4	4	465	495	495	1	0	0	2
253	300	480	0	2	1	1	480	-1	2	3.5	9	92.5	2	2	6	7	5	4	-1	-1	6	5	1	6	-1	5	5	12	13.5	13.5	720	810	810	13.3	17.3	16.3	798	1038	978	4.3	4.8	4.8	4.3	6.8	5.8	3	4	3	225	170	200	0	0	1	2
254	300	300	1	2	1	2	-1	1155	3	5	14	350	1	99	99	6	6	2	-1	-1	4	1	6	6	-1	8	8	16.5	15	13.5	990	900	810	19.0167	18.5167	17.5167	1141	1111	1051	2.51667	3.01667	3.01667	2.51667	3.51667	4.01667	3	3	1	225	225	215	1	0	0	2
255	300	480	0	1	2	1	810	960	2	3.5	7	70	99	2	6	2	7	2	-1	-1	1	6	1	6	-1	5	5	18	15	7.5	1080	900	450	20.45	18.95	11.95	1227	1137	717	5.45	5.95	5.95	5.45	6.95	7.45	4	3	2	415	415	460	0	1	0	1
256	300	480	0	2	1	1	600	-1	2	3.5	99	-1	1	2	7	7	7	3	-1	-1	7	7	7	5	-1	8	6	13.5	12	7.5	810	720	450	16.2667	17.2667	11.7667	976	1036	706	5.76667	6.26667	6.26667	5.76667	8.26667	7.26667	4	2	1	645	740	580	1	0	0	2
257	480	300	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	8	-1	-1	6	6	8	4	-1	3	3	8	6	6	480	360	360	16.3333	15.8333	15.8333	980	950	950	5.33333	5.83333	5.83333	5.33333	6.83333	6.83333	3	1	1	1120	965	1170	1	0	0	2
258	300	360	0	2	1	1	1080	-1	2	3.5	12	162.5	1	2	7	5	7	11	-1	-1	3	6	1	3	-1	2	4	7.5	15	13.5	450	900	810	9.68333	18.1833	17.1833	581	1091	1031	3.18333	3.68333	3.68333	3.18333	4.18333	4.68333	2	2	2	385	420	310	1	0	0	2
259	480	480	1	2	1	2	-1	1170	2	3.5	10	112.5	1	1	7	4	6	10	-1	-1	8	1	6	3	-1	7	6	15	15	7.5	900	900	450	16.3667	17.8667	10.8667	982	1072	652	1.36667	1.86667	1.86667	1.36667	2.86667	3.36667	1	2	1	270	205	190	0	1	0	2
260	480	300	2	2	1	2	-1	1170	1	2	1	10	2	2	8	11	5	5	-1	-1	6	1	6	5	-1	5	5	10	13	12	600	780	720	18.3	22.8	21.3	1098	1368	1278	5.3	5.8	5.8	5.3	6.8	6.3	2	3	4	795	975	1015	1	0	0	2
261	300	360	0	1	2	2	-1	1080	1	3.5	9	92.5	1	1	8	1	5	1	-1	-1	5	8	2	5	-1	4	7	16.5	12	16.5	990	720	990	17.7333	14.2333	19.2333	1064	854	1154	2.23333	2.73333	2.73333	2.23333	3.23333	3.73333	2	2	2	205	220	240	1	0	0	1
262	480	480	1	2	1	1	540	-1	3	3.5	3	30	1	2	6	6	3	5	-1	-1	3	1	7	1	-1	6	7	18	12	18	1080	720	1080	20.5333	15.5333	21.5333	1232	932	1292	2.53333	3.03333	3.03333	2.53333	3.53333	3.53333	3	4	3	210	160	150	0	0	1	2
263	480	300	2	2	1	1	960	-1	1	3.5	10	112.5	1	2	7	4	3	3	-1	-1	1	6	5	7	-1	7	5	8	10	6	480	600	360	15.1667	19.6667	14.1667	910	1180	850	4.16667	4.66667	4.66667	4.16667	6.66667	5.16667	2	2	2	265	280	250	1	0	0	2
264	480	360	2	3	1	1	420	-1	1	6	99	-1	1	2	8	7	8	5	-1	-1	9	2	2	3	-1	4	4	11	13	9	660	780	540	16.5	20	17	990	1200	1020	3.5	4	4	3.5	5	6	1	1	3	370	350	465	1	0	0	3
265	360	480	0	2	1	1	675	-1	1	3.5	9	92.5	1	2	7	4	2	5	-1	-1	7	5	2	7	-1	5	2	7.5	16.5	15	450	990	900	10	21.5	19	600	1290	1140	4.5	5	5	4.5	7	6	4	2	1	660	590	590	1	0	0	2
266	480	300	2	2	1	1	1170	-1	1	2	2	20	2	2	6	7	1	2	-1	-1	5	1	3	8	-1	8	4	13	12	13	780	720	780	21.3333	22.3333	22.8333	1280	1340	1370	5.33333	5.83333	5.83333	5.33333	7.33333	6.83333	2	3	4	1065	915	1170	1	0	0	2
267	480	360	2	2	1	2	-1	900	2	5	10	112.5	1	2	7	8	5	6	-1	-1	1	7	5	4	-1	2	2	9	10	10	540	600	600	15.65	19.15	19.15	939	1149	1149	4.65	5.15	5.15	4.65	7.15	7.15	4	1	2	480	480	340	1	0	0	2
268	300	480	0	2	1	1	480	-1	2	3.5	5	50	1	2	6	1	2	3	-1	-1	2	6	1	2	-1	7	6	12	18	16.5	720	1080	990	14.45	21.95	19.95	867	1317	1197	5.45	5.95	5.95	5.45	6.95	6.45	3	2	3	465	425	405	1	0	0	2
269	300	360	0	2	1	2	-1	600	3	3.5	99	-1	2	2	4	5	4	3	-1	-1	4	6	8	8	-1	4	2	15	12	18	900	720	1080	17.6833	15.6833	21.6833	1061	941	1301	3.68333	4.18333	4.18333	3.68333	4.68333	4.68333	2	1	4	445	445	500	1	0	0	2
270	360	480	0	2	1	1	630	-1	-1	-1	-1	-1	-1	-1	-1	3	6	6	-1	-1	3	6	2	7	-1	5	2	9	18	9	540	1080	540	11.5	22	13.5	690	1320	810	4.5	5	5	4.5	6	6.5	3	1	4	380	315	380	1	0	0	2
271	480	480	1	2	1	1	1020	-1	1	3.5	7	70	2	4	6	3	8	8	-1	-1	7	6	5	1	-1	2	8	15	16.5	18	900	990	1080	16.3667	19.8667	20.8667	982	1192	1252	1.36667	1.86667	1.86667	1.36667	3.36667	2.86667	3	2	3	225	190	225	1	0	0	2
272	300	360	0	2	1	1	540	-1	2	3.5	9	92.5	1	2	6	5	1	6	-1	-1	7	6	7	2	-1	5	7	11	11	10	660	660	600	14.6167	17.1167	15.6167	877	1027	937	4.61667	5.11667	5.11667	4.61667	7.11667	6.61667	2	1	1	550	580	520	1	0	0	2
273	360	480	0	2	1	2	-1	720	2	6	99	-1	1	9	3	1	1	1	-1	-1	4	7	1	3	-1	8	2	18	10.5	12	1080	630	720	20.2333	14.2333	15.7333	1214	854	944	4.23333	4.73333	4.73333	4.23333	5.73333	5.73333	2	4	2	525	410	435	0	1	0	2
274	360	300	2	4	1	2	-1	960	2	3.5	14	350	2	1	3	8	5	5	-1	-1	6	6	4	3	-1	1	3	14	8	7	840	480	420	17.8	14.3	13.3	1068	858	798	2.8	3.3	3.3	2.8	5.3	5.3	1	4	1	245	210	245	0	1	0	4
275	300	480	0	2	1	1	1140	-1	3	3.5	4	40	2	2	6	5	1	6	-1	-1	7	6	7	2	-1	5	7	13.5	13.5	12	810	810	720	16.2667	18.7667	16.7667	976	1126	1006	5.76667	6.26667	6.26667	5.76667	8.26667	7.76667	2	1	1	510	535	485	1	0	0	2
276	480	300	2	2	1	1	1125	-1	1	5	11	137.5	2	1	6	6	3	5	-1	-1	3	6	5	4	-1	8	4	10	10	10	600	600	600	18.3333	20.3333	20.8333	1100	1220	1250	5.33333	5.83333	5.83333	5.33333	7.33333	7.83333	4	3	2	830	915	830	1	0	0	2
277	360	300	2	2	1	1	540	-1	2	3.5	7	70	2	3	3	1	3	6	-1	-1	7	2	4	7	-1	2	6	13	7	14	780	420	840	17.1333	13.6333	20.1333	1028	818	1208	3.13333	3.63333	3.63333	3.13333	5.63333	5.13333	3	4	2	415	335	375	0	1	0	2
278	480	480	1	2	1	1	600	-1	3	3.5	14	350	1	4	6	3	9	9	-1	-1	7	1	7	4	-1	4	2	12	7.5	13.5	720	450	810	14.5333	11.0333	18.0333	872	662	1082	2.53333	3.03333	3.03333	2.53333	3.53333	4.53333	4	1	2	210	260	270	1	0	0	2
279	360	480	0	2	1	1	540	-1	4	5	8	80	2	1	6	3	2	1	-1	-1	2	5	4	5	-1	3	1	18	12	18	1080	720	1080	19.3333	14.8333	21.3333	1160	890	1280	3.33333	3.83333	3.83333	3.33333	4.83333	5.33333	1	2	1	345	345	330	0	0	1	2
280	480	480	1	2	1	0	-1	-1	2	5	99	-1	2	5	3	9	11	4	-1	-1	11	7	4	2	-1	4	4	12	15	9	720	900	540	14.5333	20.0333	13.5333	872	1202	812	2.53333	3.03333	3.03333	2.53333	5.03333	4.53333	4	2	4	200	220	190	1	0	0	2
281	420	360	2	1	2	1	600	-1	1	5	12	162.5	1	1	3	9	1	5	-1	-1	3	2	6	5	-1	7	1	16.5	7.5	9	990	450	540	19.35	12.35	14.35	1161	741	861	1.85	2.35	2.35	1.85	3.85	4.35	1	2	1	420	480	360	1	0	0	1
282	360	480	0	2	1	2	-1	1065	1	3.5	1	10	1	2	6	7	2	6	-1	-1	4	3	3	4	-1	7	3	12	12	10.5	720	720	630	14.5	16.5	14	870	990	840	4.5	5	5	4.5	6.5	5.5	3	1	1	725	725	590	0	0	1	2
283	480	480	1	2	1	2	-1	660	2	2	99	-1	2	99	4	4	6	10	-1	-1	8	1	6	3	-1	7	6	15	15	7.5	900	900	450	17.5333	19.0333	12.0333	1052	1142	722	2.53333	3.03333	3.03333	2.53333	4.03333	4.53333	1	2	1	350	265	250	0	0	1	2
284	360	480	0	2	1	2	-1	660	5	3.5	6	60	1	2	4	3	7	4	-1	-1	2	4	3	5	-1	3	2	16.5	18	7.5	990	1080	450	17.8333	21.3333	9.83333	1070	1280	590	3.33333	3.83333	3.83333	3.33333	5.33333	4.33333	4	3	3	190	170	160	0	0	1	2
285	300	300	1	2	1	2	-1	690	1	5	6	60	1	4	7	4	3	3	-1	-1	1	6	5	7	-1	7	5	10.5	13.5	7.5	630	810	450	12.45	17.95	10.45	747	1077	627	1.95	2.45	2.45	1.95	4.45	2.95	2	2	2	310	325	290	0	0	1	2
286	480	480	1	3	1	1	1020	-1	1	3.5	3	30	2	3	4	1	2	7	-1	-1	11	3	3	7	-1	8	7	9	12	12	540	720	720	9.91667	15.4167	15.4167	595	925	925	0.916667	1.41667	1.41667	0.916667	3.41667	3.41667	1	4	1	80	90	90	1	0	0	3
287	480	480	1	2	1	2	-1	480	4	5	11	137.5	1	2	7	7	5	2	-1	-1	1	2	3	8	-1	2	2	9	9	15	540	540	900	10.25	11.75	18.25	615	705	1095	1.25	1.75	1.75	1.25	2.75	3.25	1	2	1	150	165	150	1	0	0	2
288	360	300	2	2	1	1	465	-1	4	3.5	6	60	1	7	2	6	1	8	-1	-1	2	5	3	2	-1	4	5	13	8	10	780	480	600	16.5	13.5	16	990	810	960	2.5	3	3	2.5	4.5	5	2	4	3	190	170	170	0	1	0	2
289	300	300	1	2	1	1	1050	-1	1	3.5	1	10	2	99	7	3	6	5	-1	-1	1	3	8	2	-1	2	5	12	12	7.5	720	720	450	14.5167	17.0167	11.5167	871	1021	691	2.51667	3.01667	3.01667	2.51667	5.01667	4.01667	1	3	2	295	280	335	1	0	0	2
290	480	300	2	1	2	1	960	-1	1	5	99	-1	2	99	99	5	3	8	-1	-1	6	4	1	3	-1	8	2	9	9	8	540	540	480	16.5667	19.0667	17.5667	994	1144	1054	4.56667	5.06667	5.06667	4.56667	7.06667	6.56667	1	3	3	435	410	510	1	0	0	1
291	480	480	1	4	1	2	-1	-1	1	3.5	10	112.5	2	2	9	2	5	7	-1	-1	4	4	7	5	-1	8	6	15	10.5	13.5	900	630	810	16.3667	13.3667	16.8667	982	802	1012	1.36667	1.86667	1.86667	1.36667	2.86667	3.36667	3	1	4	145	135	135	1	0	0	4
292	480	360	2	2	1	1	420	-1	2	2	2	20	2	2	5	11	4	3	-1	-1	4	5	3	3	-1	3	8	11	9	12	660	540	720	17.65	18.15	20.65	1059	1089	1239	4.65	5.15	5.15	4.65	7.15	6.65	3	4	2	720	570	600	0	1	0	2
293	480	360	2	2	1	2	-1	1050	2	5	13	187.5	2	2	7	5	7	1	-1	-1	5	7	8	4	-1	1	6	11	13	9	660	780	540	17.65	20.65	17.15	1059	1239	1029	4.65	5.15	5.15	4.65	5.65	6.15	3	3	1	340	440	400	1	0	0	2
294	480	480	1	2	1	0	-1	-1	1	3.5	8	80	2	2	6	4	11	5	-1	-1	1	3	1	8	-1	3	7	15	18	13.5	900	1080	810	17.5333	22.5333	17.5333	1052	1352	1052	2.53333	3.03333	3.03333	2.53333	4.53333	4.03333	4	4	1	260	280	260	1	0	0	2
295	480	480	1	1	1	1	1200	-1	2	5	6	60	2	2	8	5	1	5	-1	-1	4	7	6	8	-1	4	1	7.5	18	7.5	450	1080	450	8.41667	21.4167	10.4167	505	1285	625	0.916667	1.41667	1.41667	0.916667	3.41667	2.91667	3	4	2	165	195	205	1	0	0	1
296	360	480	0	4	1	2	-1	1170	1	3.5	14	350	2	1	6	3	6	6	-1	-1	3	6	2	7	-1	5	2	9	18	9	540	1080	540	10.8167	21.3167	12.8167	649	1279	769	3.81667	4.31667	4.31667	3.81667	5.31667	5.81667	3	1	4	175	145	175	1	0	0	4
297	300	360	0	2	3	2	-1	840	1	3.5	1	10	2	99	6	2	11	1	-1	-1	3	4	6	7	-1	6	3	7.5	13.5	18	450	810	1080	9.68333	17.1833	22.6833	581	1031	1361	3.18333	3.68333	3.68333	3.18333	4.68333	5.68333	3	2	2	415	440	560	1	0	0	2
298	480	300	2	2	1	2	-1	990	2	6	14	350	1	2	8	4	11	5	-1	-1	1	3	1	8	-1	3	7	11	13	10	660	780	600	19.3333	23.3333	19.8333	1160	1400	1190	5.33333	5.83333	5.83333	5.33333	7.33333	6.83333	4	4	1	745	815	745	1	0	0	2
299	480	480	1	1	1	2	-1	285	1	3.5	6	60	1	1	6	3	1	3	-1	-1	1	2	6	2	-1	8	2	15	7.5	15	900	450	900	16.25	11.25	17.25	975	675	1035	1.25	1.75	1.75	1.25	3.75	2.25	3	3	1	115	150	160	1	0	0	1
300	480	300	2	4	1	1	1380	-1	3	5	10	112.5	2	2	7	2	7	2	-1	-1	1	6	1	6	-1	5	5	13	11	6	780	660	360	21.5333	21.0333	16.5333	1292	1262	992	5.53333	6.03333	6.03333	5.53333	7.03333	7.53333	4	3	2	780	780	870	1	0	0	4
301	300	480	0	3	1	2	-1	885	3	3.5	99	-1	99	99	6	8	2	2	-1	-1	4	2	7	7	-1	3	5	18	18	12	1080	1080	720	19.8833	21.8833	15.8833	1193	1313	953	4.88333	5.38333	5.38333	4.88333	6.88333	6.88333	1	1	3	455	590	645	1	0	0	3
302	360	480	0	2	1	1	1170	-1	2	3.5	11	137.5	1	2	6	5	2	2	-1	-1	3	7	7	3	-1	2	5	15	7.5	16.5	900	450	990	16.3667	11.3667	20.3667	982	682	1222	3.36667	3.86667	3.86667	3.36667	5.86667	5.86667	3	3	4	475	475	525	1	0	0	2
303	360	480	0	2	1	2	-1	780	2	2	3	30	2	2	8	2	3	4	-1	-1	3	5	8	7	-1	6	7	15	9	7.5	900	540	450	17.2333	13.2333	11.2333	1034	794	674	4.23333	4.73333	4.73333	4.23333	6.23333	5.73333	2	3	4	495	605	495	1	0	0	2
304	480	300	2	2	1	0	-1	-1	2	3.5	5	50	2	12	7	7	6	11	-1	-1	1	5	6	7	-1	4	6	13	9	7	780	540	420	20.8333	17.8333	17.3333	1250	1070	1040	4.83333	5.33333	5.33333	4.83333	5.83333	7.33333	3	4	2	565	590	510	1	0	0	2
305	480	300	2	2	1	1	645	-1	2	5	11	137.5	1	2	7	7	1	4	-1	-1	3	7	1	6	-1	7	1	6	8	8	360	480	480	13.8333	16.8333	17.8333	830	1010	1070	4.83333	5.33333	5.33333	4.83333	5.83333	6.83333	4	1	2	375	340	290	0	0	1	2
306	480	480	1	2	1	2	-1	1080	1	3.5	7	70	2	2	6	7	7	3	-1	-1	7	7	7	5	-1	8	6	13.5	12	7.5	810	720	450	16.0333	17.0333	11.5333	962	1022	692	2.53333	3.03333	3.03333	2.53333	5.03333	4.03333	4	2	1	400	460	360	1	0	0	2
307	480	480	1	4	1	1	1170	-1	2	6	11	137.5	1	1	7	2	1	7	-1	-1	2	6	7	5	-1	2	3	10.5	13.5	10.5	630	810	630	11.75	16.75	13.25	705	1005	795	1.25	1.75	1.75	1.25	3.25	2.75	4	4	1	140	140	185	1	0	0	4
308	480	480	1	2	1	1	1170	-1	-1	-1	-1	-1	-1	-1	-1	3	3	4	-1	-1	5	1	8	3	-1	5	7	18	16.5	9	1080	990	540	19.3667	20.3667	11.3667	1162	1222	682	1.36667	1.86667	1.86667	1.36667	3.86667	2.36667	4	1	3	235	215	245	1	0	0	2
309	480	300	2	4	1	2	-1	975	1	5	6	60	2	4	7	6	2	7	-1	-1	1	4	3	3	-1	1	7	8	11	12	480	660	720	15.8333	20.8333	21.8333	950	1250	1310	4.83333	5.33333	5.33333	4.83333	6.83333	6.83333	3	2	2	325	375	395	1	0	0	4
310	480	300	2	1	2	2	645	570	1	3.5	11	137.5	1	1	8	2	6	6	-1	-1	4	5	1	5	-1	8	8	6	12	12	360	720	720	14.3333	22.3333	21.3333	860	1340	1280	5.33333	5.83333	5.83333	5.33333	7.33333	6.33333	2	4	2	320	400	400	1	0	0	1
311	300	360	0	2	1	1	600	-1	2	6	7	70	99	5	8	4	5	2	-1	-1	8	7	3	5	-1	3	2	10.5	16.5	13.5	630	990	810	13.1833	20.1833	18.6833	791	1211	1121	3.68333	4.18333	4.18333	3.68333	4.68333	6.18333	3	4	2	825	670	865	1	0	0	2
312	360	300	2	1	1	2	-1	1080	1	5	10	112.5	1	99	99	3	4	6	-1	-1	2	2	1	8	-1	3	7	11	13	7	660	780	420	14.8	17.8	12.8	888	1068	768	2.8	3.3	3.3	2.8	3.8	4.8	3	3	4	385	385	345	1	0	0	1
313	300	480	0	2	1	1	630	-1	4	4	7	70	1	2	6	6	8	7	-1	-1	5	1	8	5	-1	7	2	12	13.5	12	720	810	720	14.8333	18.8333	16.8333	890	1130	1010	5.83333	6.33333	6.33333	5.83333	8.33333	7.83333	3	4	2	755	790	825	1	0	0	2
314	300	480	0	1	2	1	780	-1	4	3.5	3	30	1	1	6	2	6	6	-1	-1	4	8	2	3	-1	6	2	10.5	7.5	7.5	630	450	450	12.7333	10.7333	12.2333	764	644	734	5.23333	5.73333	5.73333	5.23333	6.23333	7.73333	1	3	3	315	305	240	0	1	0	1
315	360	300	2	2	1	1	930	-1	4	3.5	14	350	1	2	9	4	11	6	-1	-1	1	1	8	2	-1	8	1	8	11	9	480	660	540	11.3	16.3	13.8	678	978	828	2.3	2.8	2.8	2.3	4.3	3.8	1	1	2	230	170	180	1	0	0	2
316	300	480	0	2	1	1	660	-1	2	5	9	92.5	2	5	5	5	7	1	-1	-1	5	3	3	1	-1	5	1	18	7.5	15	1080	450	900	20.1333	11.6333	19.1333	1208	698	1148	5.13333	5.63333	5.63333	5.13333	7.13333	7.13333	4	4	4	650	505	680	1	0	0	2
317	360	480	0	2	1	2	-1	840	2	3.5	3	30	2	3	3	3	3	2	-1	-1	7	7	2	1	-1	2	6	7.5	10.5	7.5	450	630	450	8.86667	13.3667	11.3667	532	802	682	3.36667	3.86667	3.86667	3.36667	4.86667	5.86667	2	3	1	330	315	360	1	0	0	2
318	360	480	0	2	1	0	-1	-1	2	3.5	9	92.5	2	2	7	3	6	6	-1	-1	3	6	2	7	-1	5	2	9	18	9	540	1080	540	11.2333	21.7333	13.2333	674	1304	794	4.23333	4.73333	4.73333	4.23333	5.73333	6.23333	3	1	4	300	245	300	0	1	0	2
319	420	360	2	2	1	2	-1	660	99	99	4	40	2	2	9	3	7	4	-1	-1	2	4	3	5	-1	3	2	16.5	18	7.5	990	1080	450	19.35	22.85	11.35	1161	1371	681	1.85	2.35	2.35	1.85	3.85	2.85	4	3	3	240	215	205	0	0	1	2
320	300	300	1	2	1	1	375	-1	2	6	5	50	2	2	3	4	7	7	-1	-1	3	8	6	2	-1	2	4	16.5	16.5	16.5	990	990	990	18.3167	20.3167	19.3167	1099	1219	1159	1.81667	2.31667	2.31667	1.81667	3.81667	2.81667	3	1	1	380	330	315	0	0	1	2
321	300	480	0	2	1	1	960	-1	4	3.5	5	50	1	2	7	2	6	6	-1	-1	4	8	2	3	-1	6	2	10.5	7.5	7.5	630	450	450	12.3833	10.3833	11.8833	743	623	713	4.88333	5.38333	5.38333	4.88333	5.88333	7.38333	1	3	3	430	410	325	0	0	1	2
322	360	480	0	2	1	1	1080	-1	5	3.5	8	80	2	1	8	5	2	4	-1	-1	5	6	6	4	-1	1	8	9	10.5	9	540	630	540	11.2333	15.2333	13.7333	674	914	824	4.23333	4.73333	4.73333	4.23333	6.73333	6.73333	2	2	3	485	485	645	1	0	0	2
323	480	360	2	2	1	2	-1	600	2	3.5	10	112.5	2	1	3	3	1	7	-1	-1	6	5	5	7	-1	7	5	13	12	11	780	720	660	18.5	19	19	1110	1140	1140	3.5	4	4	3.5	5	6	1	1	3	450	465	430	1	0	0	2
