	ID	CAR_AV_0	CAR_AV_1	CAR_AV_2	CAR_AV_3	CAR_AV_4	CAR_AV_5	CAR_AV_6	CAR_AV_7	CAR_AV_8	CAR_CO_0	CAR_CO_1	CAR_CO_2	CAR_CO_3	CAR_CO_4	CAR_CO_5	CAR_CO_6	CAR_CO_7	CAR_CO_8	CAR_TT_0	CAR_TT_1	CAR_TT_2	CAR_TT_3	CAR_TT_4	CAR_TT_5	CAR_TT_6	CAR_TT_7	CAR_TT_8	CHOICE_0	CHOICE_1	CHOICE_2	CHOICE_3	CHOICE_4	CHOICE_5	CHOICE_6	CHOICE_7	CHOICE_8	SM_AV_0	SM_AV_1	SM_AV_2	SM_AV_3	SM_AV_4	SM_AV_5	SM_AV_6	SM_AV_7	SM_AV_8	SM_CO_0	SM_CO_1	SM_CO_2	SM_CO_3	SM_CO_4	SM_CO_5	SM_CO_6	SM_CO_7	SM_CO_8	SM_HE_0	SM_HE_1	SM_HE_2	SM_HE_3	SM_HE_4	SM_HE_5	SM_HE_6	SM_HE_7	SM_HE_8	SM_SEATS_0	SM_SEATS_1	SM_SEATS_2	SM_SEATS_3	SM_SEATS_4	SM_SEATS_5	SM_SEATS_6	SM_SEATS_7	SM_SEATS_8	SM_TT_0	SM_TT_1	SM_TT_2	SM_TT_3	SM_TT_4	SM_TT_5	SM_TT_6	SM_TT_7	SM_TT_8	TRAIN_AV_0	TRAIN_AV_1	TRAIN_AV_2	TRAIN_AV_3	TRAIN_AV_4	TRAIN_AV_5	TRAIN_AV_6	TRAIN_AV_7	TRAIN_AV_8	TRAIN_CO_0	TRAIN_CO_1	TRAIN_CO_2	TRAIN_CO_3	TRAIN_CO_4	TRAIN_CO_5	TRAIN_CO_6	TRAIN_CO_7	TRAIN_CO_8	TRAIN_HE_0	TRAIN_HE_1	TRAIN_HE_2	TRAIN_HE_3	TRAIN_HE_4	TRAIN_HE_5	TRAIN_HE_6	TRAIN_HE_7	TRAIN_HE_8	TRAIN_TT_0	TRAIN_TT_1	TRAIN_TT_2	TRAIN_TT_3	TRAIN_TT_4	TRAIN_TT_5	TRAIN_TT_6	TRAIN_TT_7	TRAIN_TT_8	INCOME	FIRST	PURPOSE	DEST	TICKET	LUGGAGE	MALE	SP	SURVEY	GROUP	ORIGIN	QuestionID	GA	WHO	AGE	index
297	298	1	1	1	1	1	1	1	1	1	40	32	32	52	52	40	32	52	52	80	104	64	104	64	104	80	80	80	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	3120	3120	3380	3380	3120	3120	3380	3380	4160	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	31	34	38	38	38	38	34	31	38	1	1	1	1	1	1	1	1	1	3120	2340	2340	2340	2600	2600	3120	2600	3120	120	120	120	60	120	60	60	120	30	103	82	103	89	89	82	82	82	89	2	0	3	22	6	0	0	1	0	2	2	1	1	1	4	2674
298	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	3120	3380	3120	3380	3120	3380	3120	3380	4160	30	20	30	10	30	10	20	20	20	1	1	0	0	0	1	1	0	1	59	66	62	66	66	62	66	59	66	1	1	1	1	1	1	1	1	1	3120	2340	2340	2340	2600	3120	2600	2600	3120	120	120	120	60	120	60	60	120	30	138	138	106	117	117	106	106	106	117	1	0	3	2	6	1	0	1	0	2	9	1	1	1	1	2683
299	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	3120	4160	4160	4160	3380	3120	3120	4160	3380	10	20	10	30	30	10	20	30	30	0	0	1	1	1	1	0	0	0	57	53	55	53	53	55	53	55	55	1	1	1	1	1	1	1	1	1	2600	2340	2600	2340	2600	2340	3120	2600	3120	30	30	120	60	30	30	60	60	30	86	86	86	76	79	79	79	79	86	1	0	3	25	6	1	0	1	0	2	22	1	1	1	1	2692
300	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	3120	4160	4160	4160	3380	3120	3120	3380	4160	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	93	91	89	89	89	91	89	91	91	1	1	1	1	1	1	1	1	1	2600	2600	2340	2340	2600	2340	3120	3120	2600	30	120	30	60	30	30	60	30	60	119	119	119	94	102	102	102	119	102	1	0	3	10	6	1	0	1	0	2	25	1	1	1	1	2701
301	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3120	4160	4160	4160	3380	3120	3120	3380	4160	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	62	56	51	51	51	56	51	56	56	1	1	1	1	1	1	1	1	1	2600	2600	2340	2340	2600	2340	3120	3120	2600	30	120	30	60	30	30	60	30	60	153	153	153	121	132	132	132	153	132	4	0	3	2	6	1	0	1	0	2	25	1	1	1	1	2710
302	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	3120	4160	4160	4160	3380	3120	3120	3380	4160	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	101	93	87	87	87	93	87	93	93	1	1	1	1	1	1	1	1	1	2600	2600	2340	2340	2600	2340	3120	3120	2600	30	120	30	60	30	30	60	30	60	205	205	205	161	176	176	176	205	176	1	0	3	2	6	1	1	1	0	2	17	1	1	1	1	2719
303	304	1	1	1	1	1	1	1	1	1	40	32	52	32	52	32	40	40	40	91	91	91	56	70	70	56	56	70	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3380	4160	3120	4160	3120	4160	4160	3380	3380	20	30	10	20	20	10	10	10	30	0	0	0	0	0	0	0	0	0	63	65	61	63	63	61	65	61	65	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	2340	3120	2600	2340	120	60	30	30	60	120	120	60	30	87	102	79	79	102	87	79	102	79	1	0	3	25	6	1	1	1	0	2	22	1	1	1	1	2728
304	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	3380	3120	4160	4160	3120	4160	4160	3380	3380	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	177	174	181	177	177	174	181	181	174	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	2340	3120	2340	2600	120	30	60	30	60	120	120	30	60	232	210	276	210	276	232	210	210	276	4	0	3	2	6	1	1	1	0	2	22	1	1	1	1	2737
305	306	1	1	1	1	1	1	1	1	1	80	64	64	104	104	80	64	104	104	110	143	88	143	88	143	110	110	110	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	3120	3120	3380	3380	3120	3120	3380	3380	4160	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	70	73	77	77	77	77	73	70	77	1	1	1	1	1	1	1	1	1	3120	2340	2340	2340	2600	2600	3120	2600	3120	120	120	120	60	120	60	60	120	30	147	114	147	125	125	114	114	114	125	1	0	3	2	6	1	1	1	0	2	1	1	1	1	2	2746
306	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	3380	3120	4160	4160	3120	4160	4160	3380	3380	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	26	23	30	26	26	23	30	30	23	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	2340	3120	2340	2600	120	30	60	30	60	120	120	30	60	81	73	96	73	96	81	73	73	96	1	0	3	1	6	1	1	1	0	2	2	1	1	1	2	2755
307	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3120	3120	3380	3380	3120	3120	3380	3380	4160	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	44	49	55	55	55	55	49	44	55	1	1	1	1	1	1	1	1	1	3120	2340	2340	2340	2600	2600	3120	2600	3120	120	120	120	60	120	60	60	120	30	146	114	146	125	125	114	114	114	125	1	0	3	25	6	1	1	1	0	2	2	1	1	1	2	2764
308	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3120	3120	3380	3380	3120	3120	3380	3380	4160	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	63	71	81	81	81	81	71	63	81	1	1	1	1	1	1	1	1	1	3120	2340	2340	2340	2600	2600	3120	2600	3120	120	120	120	60	120	60	60	120	30	236	182	236	200	200	182	182	182	200	2	0	3	1	6	1	1	1	0	2	25	1	1	1	2	2773
309	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	3380	4160	3120	4160	3120	4160	4160	3380	3380	20	30	10	20	20	10	10	10	30	0	0	0	0	0	0	0	0	0	57	61	54	57	57	61	54	54	61	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	3120	2340	2600	2340	120	60	30	30	60	120	120	60	30	110	124	103	103	124	103	110	124	103	1	0	3	1	6	1	1	1	0	2	17	1	1	1	3	2782
310	311	1	1	1	1	1	1	1	1	1	60	48	78	48	78	60	48	60	60	130	130	130	80	100	80	100	80	100	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	3380	4160	3120	4160	3120	4160	4160	3380	3380	20	30	10	20	20	10	10	10	30	0	0	0	0	0	0	0	0	0	66	70	63	66	66	70	63	63	70	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	3120	2340	2600	2340	120	60	30	30	60	120	120	60	30	121	141	111	111	141	111	121	141	111	2	0	3	1	6	1	1	1	0	2	10	1	1	1	3	2791
311	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	3120	4160	4160	4160	3380	3120	3120	3380	4160	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	53	49	46	46	46	49	46	49	49	1	1	1	1	1	1	1	1	1	2600	2600	2340	2340	2600	2340	3120	3120	2600	30	120	30	60	30	30	60	30	60	116	116	116	95	102	102	102	116	102	2	0	3	1	6	1	1	1	0	2	17	1	1	1	3	2800
312	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	3120	4160	4160	4160	3380	3120	3120	3380	4160	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	69	65	62	62	62	65	62	65	65	1	1	1	1	1	1	1	1	1	2600	2600	2340	2340	2600	2340	3120	3120	2600	30	120	30	60	30	30	60	30	60	141	141	141	109	120	120	120	141	120	3	0	3	2	6	1	1	1	0	2	1	1	1	1	4	2809
313	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3380	4160	3120	4160	3120	4160	4160	3380	3380	20	30	10	20	20	10	10	10	30	0	0	0	0	0	0	0	0	0	34	38	31	34	34	38	31	31	38	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	3120	2340	2600	2340	120	60	30	30	60	120	120	60	30	87	101	80	80	101	80	87	101	80	2	0	3	17	6	1	0	1	0	2	1	1	1	1	5	2818
314	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3380	3120	4160	4160	3120	4160	4160	3380	3380	20	10	20	30	20	10	10	30	10	0	0	0	0	0	0	0	0	0	115	107	115	125	115	107	125	125	107	1	1	1	1	1	1	1	1	1	3120	3120	2600	3120	2340	2340	3120	2340	2600	120	30	30	60	60	120	120	30	60	244	221	221	290	290	244	221	221	290	2	0	3	25	6	1	1	1	0	2	1	1	1	1	5	2827
315	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3380	3120	4160	4160	3120	4160	4160	3380	3380	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	47	44	51	47	47	44	51	51	44	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	2340	3120	2340	2600	120	30	60	30	60	120	120	30	60	102	95	116	95	116	102	95	95	116	1	0	3	1	6	1	0	1	0	2	2	1	1	1	2	2836
316	317	1	1	1	1	1	1	1	1	1	130	169	104	104	169	104	130	130	130	273	273	273	168	210	210	168	210	168	2	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	3380	3120	4160	4160	3120	4160	4160	3380	3380	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	284	278	292	284	284	278	292	292	278	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	2340	3120	2340	2600	120	30	60	30	60	120	120	30	60	392	353	470	353	470	392	353	353	470	1	0	3	21	6	1	0	1	0	2	22	1	1	1	4	2845
317	318	1	1	1	1	1	1	1	1	1	30	24	24	39	39	30	24	39	39	70	91	56	91	56	91	70	70	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3120	3120	3380	3380	3120	3120	3380	3380	4160	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	40	43	47	47	47	47	43	40	47	1	1	1	1	1	1	1	1	1	3120	2340	2340	2340	2600	2600	3120	2600	3120	120	120	120	60	120	60	60	120	30	112	91	112	98	98	91	91	91	98	2	0	3	22	6	1	1	1	0	2	2	1	1	1	5	2854
318	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	3380	3120	4160	4160	3120	4160	4160	3380	3380	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	66	63	70	66	66	63	70	70	63	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	2340	3120	2340	2600	120	30	60	30	60	120	120	30	60	121	111	140	111	140	121	111	111	140	4	0	3	22	6	1	1	1	0	2	2	1	1	1	5	2863
319	320	1	1	1	1	1	1	1	1	1	50	40	65	40	65	50	40	65	65	80	104	104	64	64	104	80	80	80	2	3	1	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	3120	3120	3380	3380	3120	3120	3380	3380	4160	30	30	10	20	30	20	10	20	20	1	0	0	1	0	1	1	0	1	36	39	43	43	43	43	39	36	43	1	1	1	1	1	1	1	1	1	3120	2340	2340	2340	2600	2600	3120	2600	3120	120	120	60	120	120	60	60	120	30	108	87	94	108	94	87	87	87	94	4	0	3	1	6	1	0	1	0	2	2	1	1	1	3	2872
320	321	1	1	1	1	1	1	1	1	1	40	65	50	65	40	50	40	65	50	180	234	234	144	234	144	144	144	180	2	3	3	3	2	1	3	3	1	1	1	1	1	1	1	1	1	1	3120	4160	4160	4160	3380	3120	3120	3380	4160	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	117	109	103	103	103	109	103	109	109	1	1	1	1	1	1	1	1	1	2600	2600	2340	2340	2600	2340	3120	3120	2600	30	120	30	60	30	30	60	30	60	257	257	257	197	217	217	217	257	217	3	0	3	23	6	3	1	1	0	2	1	1	1	1	2	2881
321	322	1	1	1	1	1	1	1	1	1	95	123	76	76	123	76	95	95	95	351	351	351	216	270	270	216	270	216	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3380	3120	4160	4160	3120	4160	4160	3380	3380	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	157	149	167	157	157	149	167	167	149	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	2340	3120	2340	2600	120	30	60	30	60	120	120	30	60	286	258	341	258	341	286	258	258	341	4	0	3	1	6	3	0	1	0	2	25	1	1	1	5	2890
322	323	1	1	1	1	1	1	1	1	1	55	71	44	44	71	44	55	55	55	91	91	91	56	70	70	56	70	56	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	3380	3120	4160	4160	3120	4160	4160	3380	3380	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	27	24	31	27	27	24	31	31	24	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	2340	3120	2340	2600	120	30	60	30	60	120	120	30	60	82	75	96	75	96	82	75	75	96	3	0	3	2	6	1	0	1	0	2	22	1	1	2	3	2899
323	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	3380	3120	4160	4160	3120	4160	4160	3380	3380	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	100	97	104	100	100	97	104	104	97	1	1	1	1	1	1	1	1	1	3120	3120	3120	2600	2340	2340	3120	2340	2600	120	30	60	30	60	120	120	30	60	155	141	183	141	183	155	141	141	183	4	0	3	2	6	1	0	1	0	2	23	1	1	2	1	2908
324	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2405	2220	2960	2960	2220	2960	2960	2405	2405	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	77	74	81	77	77	74	81	81	74	1	1	1	1	1	1	1	1	1	2220	2220	2220	1850	1665	1665	2220	1665	1850	120	30	60	30	60	120	120	30	60	132	125	146	125	146	132	125	125	146	1	0	3	2	7	1	0	1	0	2	1	1	1	1	1	2917
325	326	1	1	1	1	1	1	1	1	1	50	65	40	40	65	40	50	50	50	117	117	117	72	90	90	72	90	72	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2405	2220	2960	2960	2220	2960	2960	2405	2405	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	89	86	93	89	89	86	93	93	86	1	1	1	1	1	1	1	1	1	2220	2220	2220	1850	1665	1665	2220	1665	1850	120	30	60	30	60	120	120	30	60	144	132	167	132	167	144	132	132	167	1	0	3	2	7	1	1	1	0	2	1	1	1	1	1	2926
326	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2220	2220	2405	2405	2220	2220	2405	2405	2960	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	41	44	48	48	48	48	44	41	48	1	1	1	1	1	1	1	1	1	2220	1665	1665	1665	1850	1850	2220	1850	2220	120	120	120	60	120	60	60	120	30	111	90	111	97	97	90	90	90	97	1	0	3	17	7	1	1	1	0	2	1	1	1	1	1	2935
327	328	1	1	1	1	1	1	1	1	1	25	32	20	20	32	20	25	25	25	65	65	65	40	50	50	40	50	40	2	2	1	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	2405	2220	2960	2960	2220	2960	2960	2405	2405	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	56	54	59	56	56	54	59	59	54	1	1	1	1	1	1	1	1	1	2220	2220	2220	1850	1665	1665	2220	1665	1850	120	30	60	30	60	120	120	30	60	75	70	85	70	85	75	70	70	85	1	0	3	17	7	1	1	1	0	2	1	1	1	1	1	2944
328	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2220	2960	2960	2960	2405	2220	2220	2405	2960	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	126	122	119	119	119	122	119	122	122	1	1	1	1	1	1	1	1	1	1850	1850	1665	1665	1850	1665	2220	2220	1850	30	120	30	60	30	30	60	30	60	202	202	202	159	173	173	173	202	173	1	0	3	2	7	1	1	1	0	2	17	1	1	1	1	2953
329	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2220	2220	2405	2405	2220	2220	2405	2405	2960	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	82	85	89	89	89	89	85	82	89	1	1	1	1	1	1	1	1	1	2220	1665	1665	1665	1850	1850	2220	1850	2220	120	120	120	60	120	60	60	120	30	163	129	163	140	140	129	129	129	140	1	0	3	9	7	1	1	1	0	2	2	1	1	1	2	2962
330	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2220	2960	2960	2960	2405	2220	2220	2405	2960	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	62	58	55	55	55	58	55	58	58	1	1	1	1	1	1	1	1	1	1850	1850	1665	1665	1850	1665	2220	2220	1850	30	120	30	60	30	30	60	30	60	130	130	130	101	111	111	111	130	111	1	0	3	1	7	1	0	1	0	2	17	1	1	1	5	2971
331	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2405	2220	2960	2960	2220	2960	2960	2405	2405	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	86	83	90	86	86	83	90	90	83	1	1	1	1	1	1	1	1	1	2220	2220	2220	1850	1665	1665	2220	1665	1850	120	30	60	30	60	120	120	30	60	139	126	165	126	165	139	126	126	165	4	0	3	3	7	1	0	1	0	2	17	1	1	1	1	2980
332	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2405	2220	2960	2960	2220	2960	2960	2405	2405	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	43	40	47	43	43	40	47	47	40	1	1	1	1	1	1	1	1	1	2220	2220	2220	1850	1665	1665	2220	1665	1850	120	30	60	30	60	120	120	30	60	96	88	112	88	112	96	88	88	112	1	0	3	1	7	0	0	1	0	2	17	1	1	2	1	2989
333	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2405	2220	2960	2960	2220	2960	2960	2405	2405	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	49	46	53	49	49	46	53	53	46	1	1	1	1	1	1	1	1	1	2220	2220	2220	1850	1665	1665	2220	1665	1850	120	30	60	30	60	120	120	30	60	102	95	116	95	116	102	95	95	116	1	0	3	1	7	1	0	1	0	2	17	1	1	2	1	2998
334	335	1	1	1	1	1	1	1	1	1	32	52	40	52	32	40	32	52	40	100	130	130	80	130	80	80	80	100	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	2220	2960	2960	2960	2405	2220	2220	2405	2960	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	93	89	86	86	86	89	86	89	89	1	1	1	1	1	1	1	1	1	1850	1850	1665	1665	1850	1665	2220	2220	1850	30	120	30	60	30	30	60	30	60	171	171	171	131	144	144	144	171	144	1	0	3	1	7	1	1	1	0	2	2	1	1	2	1	3007
335	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2220	2960	2960	2960	2405	2220	2220	2405	2960	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	87	85	83	83	83	85	83	85	85	1	1	1	1	1	1	1	1	1	1850	1850	1665	1665	1850	1665	2220	2220	1850	30	120	30	60	30	30	60	30	60	126	126	126	100	109	109	109	126	109	1	0	3	23	7	1	1	1	0	2	25	1	1	2	1	3016
336	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	251	334	334	334	272	251	251	334	272	10	20	10	30	30	10	20	30	30	0	0	1	1	1	1	0	0	0	32	28	30	28	28	30	28	30	30	1	1	1	1	1	1	1	1	1	209	188	209	188	209	188	251	209	251	30	30	120	60	30	30	60	60	30	61	61	61	51	54	54	54	54	61	1	0	3	22	8	1	0	1	0	2	25	1	0	2	1	3025
337	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	139	186	186	186	151	139	139	186	151	10	20	10	30	30	10	20	30	30	0	0	1	1	1	1	0	0	0	42	38	40	38	38	40	38	40	40	1	1	1	1	1	1	1	1	1	116	104	116	104	116	104	139	116	139	30	30	120	60	30	30	60	60	30	71	71	71	61	64	64	64	64	71	4	0	3	22	10	1	0	1	0	2	25	1	0	1	1	3034
338	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	259	259	281	281	259	259	281	281	346	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	49	52	56	56	56	56	52	49	56	1	1	1	1	1	1	1	1	1	259	194	194	194	216	216	259	216	259	120	120	120	60	120	60	60	120	30	121	100	121	107	107	100	100	100	107	1	0	3	2	10	1	0	1	0	2	1	1	0	1	5	3043
339	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	70	65	86	86	65	86	86	70	70	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	56	54	58	56	56	54	58	58	54	1	1	1	1	1	1	1	1	1	65	65	65	54	49	49	65	49	54	120	30	60	30	60	120	120	30	60	80	73	94	73	94	80	73	73	94	1	0	3	25	10	1	1	1	0	2	22	1	0	1	1	3052
340	341	1	1	1	1	1	1	1	1	1	30	24	24	39	39	30	24	39	39	45	36	58	58	36	58	45	45	45	3	1	1	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	53	57	53	57	53	53	57	70	57	30	20	30	10	30	20	10	20	20	1	1	0	0	0	1	1	1	0	29	33	31	33	33	33	31	33	29	1	1	1	1	1	1	1	1	1	53	40	40	40	44	44	53	53	44	120	120	120	60	120	60	60	30	120	63	63	51	55	55	51	51	55	51	1	0	3	22	10	1	1	1	0	2	25	1	0	1	4	3061
